@relation 'ctc'
@attribute TP_FP real
@attribute FEATURE_1 real
@attribute FEATURE_2 real
@attribute FEATURE_3 real
@data
1,32.8928,-5.71186,5.06881
1,34.3569,17.2789,-3.07007
1,44.4892,17.3729,-3.08601
1,52.978,-15.5022,14.1192
1,58.802,-28.286,11.9467
1,2.04167,1.48047,-1.3267
1,3.22739,1.74693,-0.675557
1,10.0462,1.23873,-0.0531805
1,19.5948,-5.74059,1.20973
1,27.3298,-13.9355,-2.7987
1,34.0343,-19.0226,-8.11914
1,37.8601,-19.4163,-9.02396
1,38.5432,-15.547,3.1239
1,39.3664,23.4488,-7.89404
1,50.2363,28.9315,-2.76253
1,55.9701,21.8875,-14.9315
1,60.2503,-37.3668,11.6372
1,-3.33053,2.82105,0.267023
1,4.15006,-1.9144,0.158762
1,10.3595,2.06809,-0.102173
1,20.7373,3.28861,-1.87722
1,28.6832,-6.35219,-0.962007
1,35.3663,-9.7669,-8.19346
1,39.6162,-12.1305,-5.06028
1,41.3864,11.2898,-6.17416
1,45.7003,34.0189,2.18373
1,58.0051,40.3029,7.16623
1,56.573,33.5934,-8.23869
1,58.799,-42.9379,21.5897
1,4.74495,1.49906,0.0506139
1,5.97018,-2.35192,0.437502
1,9.59287,-3.79311,1.30539
1,17.1487,2.40125,-1.41292
1,25.9266,4.48825,-0.182898
1,32.7254,8.75263,-3.3982
1,37.9851,17.6039,-7.08619
1,44.4802,31.1298,-0.728995
1,58.3399,42.0006,8.35678
1,64.7702,47.6362,11.543
1,55.8107,40.5545,-8.58878
1,55.4785,-50.2275,30.562
1,5.76558,4.07124,-1.0045
1,7.82309,5.2445,0.18834
1,11.6263,3.63859,2.97356
1,17.0567,6.26112,1.54629
1,23.4746,12.5534,1.07621
1,31.6287,20.4891,0.17758
1,42.3118,27.144,-1.56337
1,55.1302,35.3769,1.72156
1,66.1417,46.4339,8.05429
1,62.2816,52.7123,9.43852
1,53.9797,34.4293,-14.8688
1,-58.1806,50.91,22.0865
1,6.68044,-1.23338,0.19456
1,10.6101,3.24074,1.63397
1,17.46,5.51625,4.95832
1,25.4846,7.79624,2.97048
1,33.5875,11.5511,-1.37596
1,42.5487,17.7545,-1.56137
1,52.8598,27.024,0.774893
1,62.0587,39.3881,4.07812
1,64.3973,52.159,7.52608
1,55.7434,46.9722,6.62518
1,-63.9885,43.6879,-0.102223
1,9.55266,-3.36596,0.951661
1,14.7489,-3.94805,2.05622
1,22.8555,5.58486,-3.45789
1,31.9013,9.8923,-4.23121
1,40.0716,13.4946,-8.99365
1,47.8891,17.9873,-14.2279
1,54.8428,26.014,-14.8395
1,57.7188,38.7092,-14.1579
1,55.2944,44.24,-15.4852
1,-67.9279,-32.9285,31.9965
1,12.6459,1.54393,-1.45453
1,17.6638,-3.28293,2.42193
1,25.8834,7.27888,-5.45854
1,35.4841,13.1548,-8.42744
1,43.5677,16.0155,-14.2308
1,50.5378,-23.5354,17.2703
1,55.3286,-33.3436,22.7409
1,55.6465,-42.4666,32.0054
1,-68.9966,-48.1043,20.1482
1,35.0919,-3.00126,0.944448
1,34.2417,2.27689,-2.15462
1,31.7875,3.08589,-2.102
1,28.7517,3.06181,-2.03653
1,-32.6327,13.3894,-4.34186
1,34.058,-4.93679,-0.925385
1,35.2917,-2.4213,1.54315
1,34.8739,3.94196,-0.727622
1,33.2473,4.3618,-0.542236
1,31.313,3.29305,-0.813143
1,-37.557,-20.1091,5.84956
1,34.6632,-4.375,-3.07724
1,35.6681,-1.87087,1.53257
1,35.6084,5.49048,-0.322492
1,34.8704,5.385,0.253763
1,34.0754,3.41731,0.236422
1,-44.8073,-33.6715,-0.0968073
1,35.6576,-4.97799,-2.94538
1,36.09,-3.26771,2.70568
1,36.0994,6.86079,-1.97744
1,35.9936,6.04401,-1.18834
1,36.0196,3.38717,-0.810119
1,-54.2574,-37.4601,-3.94449
1,35.1151,7.97036,-6.60153
1,36.4565,-5.71623,3.34211
1,37.2533,-5.71797,-2.43766
1,37.0904,-5.54855,-1.54581
1,36.5975,-4.35701,3.97376
1,36.2808,7.85132,-3.76551
1,36.3916,6.20906,-3.65889
1,36.8418,-3.61609,2.37516
1,-58.8642,-35.7109,-4.94951
1,35.875,-4.47364,2.39514
1,37.7312,6.23752,-6.02386
1,39.9006,6.89991,-5.82668
1,41.0784,-5.31772,2.29707
1,40.6396,-5.673,-1.70518
1,39.0983,-5.30637,-0.408762
1,37.5201,4.76747,-4.36153
1,36.597,8.10069,-4.53415
1,36.5436,-5.52321,5.3688
1,37.0465,-6.61555,0.283865
1,-59.0515,-31.4193,-1.56371
1,38.9657,6.13148,2.34475
1,37.7363,5.55602,0.519321
1,41.1874,6.61717,-3.0588
1,44.1294,5.84907,-4.45631
1,44.9843,-4.88134,1.91778
1,43.6831,-5.78235,-0.758965
1,41.2108,-4.91271,0.127084
1,38.8478,4.56058,-4.19281
1,37.4167,7.25665,-5.27122
1,37.1027,-7.13239,3.87424
1,37.4689,-9.0413,-1.41009
1,-58.5076,-25.9727,5.38513
1,46.1879,17.2729,-0.159433
1,38.7372,12.72,6.34486
1,38.5959,7.72154,6.84597
1,42.8356,6.81052,2.59301
1,45.9285,5.43696,-0.605384
1,46.5797,-3.14799,1.93168
1,45.0326,-5.45347,-0.651879
1,42.3555,-4.54435,-1.05291
1,39.8036,-4.89025,3.32428
1,38.2312,-6.79101,6.14447
1,37.8223,-8.65886,3.09409
1,38.1005,-9.94486,-1.6304
1,-57.9116,-20.6993,11.3123
1,44.9492,24.3628,-5.47041
1,45.3514,20.903,2.85979
1,38.5261,16.5268,8.4323
1,38.2291,12.5093,8.06544
1,42.0336,8.3902,6.45937
1,44.7792,5.13852,3.70214
1,45.3489,0.83008,0.102707
1,44.0364,-4.24482,-1.62531
1,41.7406,-3.449,-3.15878
1,39.5121,-4.79293,2.35108
1,38.1303,-6.09401,5.7407
1,37.8045,-6.93393,3.24306
1,38.0975,-7.14129,-1.09579
1,-56.8267,-15.9986,10.7904
1,40.9416,24.0762,-2.44656
1,44.3341,19.2109,4.82994
1,39.0325,16.2062,8.34627
1,36.7806,15.0106,6.3016
1,39.1179,11.759,3.97969
1,41.2079,8.50597,1.66791
1,41.7175,3.78746,-0.694537
1,40.8471,-3.77849,0.288889
1,39.2283,-4.02671,-0.225417
1,37.6211,2.26417,-1.28934
1,36.6503,6.0213,-1.11931
1,36.528,4.22063,-1.43448
1,36.893,-1.92198,0.34015
1,-56.2084,-11.9467,2.75446
1,32.6612,18.5916,0.50646
1,42.547,14.2171,5.66055
1,40.566,15.8524,4.79131
1,35.3965,17.4044,2.37874
1,34.9613,14.1354,0.940754
1,36.115,10.6103,0.262165
1,36.5014,6.38798,0.128615
1,36.0497,3.53582,-2.12171
1,35.1501,4.1929,-4.03508
1,34.2703,5.35989,-0.28233
1,33.8376,7.46928,2.49162
1,34.0122,6.91205,1.90648
1,34.4851,4.65832,-0.191651
1,-58.8959,-8.92053,-3.60392
1,37.403,11.351,4.68464
1,42.6794,15.5595,2.27173
1,36.8851,18.7631,1.2163
1,31.4472,17.1042,1.21759
1,30.7847,12.5446,2.01197
1,30.7514,8.08002,3.17825
1,30.4347,5.82764,0.13087
1,29.9992,6.31227,-4.19411
1,29.7197,6.65412,-1.95053
1,29.8375,8.11016,1.79031
1,30.3716,8.48763,2.08355
1,30.9868,6.50839,0.764692
1,-60.9667,-7.1846,0.739749
1,26.0817,10.2509,3.79234
1,42.3444,14.4177,2.29145
1,41.4224,17.8712,2.67554
1,31.7367,19.0391,3.6166
1,26.5682,15.4512,4.66467
1,25.4827,10.0338,5.36442
1,24.8874,6.19511,1.85991
1,24.523,5.31378,-4.50247
1,24.5529,4.77753,-4.10996
1,25.0151,6.35118,0.032392
1,25.7664,7.98898,1.62562
1,26.4513,6.21861,1.69777
1,-51.0092,14.3935,-10.0587
1,9.57577,6.82421,0.0583126
1,35.1276,12.6509,-0.630574
1,43.7137,16.0519,0.949276
1,35.6186,18.0825,2.97994
1,24.9319,17.5795,4.29057
1,21.1671,12.3799,4.42429
1,20.0827,5.75572,2.08538
1,19.5811,-4.75246,3.38088
1,19.5875,-5.68654,2.64915
1,19.9776,4.27061,-0.883162
1,20.5628,7.07091,1.71075
1,21.1208,5.7807,2.57557
1,-32.0506,26.8979,-12.7593
1,21.4951,10.7037,-10.4497
1,40.9274,14.3003,-7.24261
1,38.5022,16.4544,-3.05438
1,26.5781,16.805,-0.195496
1,18.3073,13.9939,0.856695
1,16.5747,6.25246,0.0318624
1,15.8817,-4.79564,2.23419
1,15.6184,-5.91252,1.70196
1,15.5826,2.84969,-0.403641
1,15.5866,6.22737,2.27051
1,15.6736,5.41494,3.08586
1,29.8287,-26.096,-2.94907
1,36.5021,-15.1871,13.0297
1,39.8711,15.3194,-9.19241
1,28.6528,15.7303,-4.77688
1,17.4239,14.2704,-2.35098
1,14.72,6.26091,-1.43304
1,13.875,-4.05574,1.36654
1,13.3128,-5.0678,1.33092
1,12.8014,1.95398,0.497398
1,12.1525,5.6619,2.10355
1,11.4066,5.14132,2.44678
1,-58.7576,15.8593,1.36516
1,33.1543,-30.1733,-1.69119
1,26.8859,-24.0118,0.305362
1,-20.0749,15.4377,0.797033
1,-17.7893,4.15872,0.019258
1,-13.6021,-3.20074,0.3054
1,-7.58974,-4.78457,-0.954793
1,-9.43,-1.42491,1.30047
1,-11.9799,5.56364,-0.00182173
1,-12.7623,6.49608,1.77363
1,-7.1523,-3.04002,-0.305178
1,-7.56389,2.6454,-0.172869
1,-10.0848,5.74736,1.44712
1,-11.7179,5.55098,3.249
1,-5.99932,-1.67822,-0.171934
1,-5.67733,4.87944,-0.666514
1,-7.4184,6.36738,0.619455
1,-9.18062,5.2039,1.77975
